,contcod,country,region,year,inc_con,source,mysample,bin_year,group,pop,RRinc,RRmean,cons_2005ppp_pc,gdp_2005ppp_pc,totpop,runningpop
2130,GTM,Guatemala,L. America & Carib.,1989,I,povcal,1,1988,1,0.8525210999999999,82.0,1203,2479.585434909807,3306.0244140625,8.525211,0.8525210999999999
5360,UGA,Uganda,Sub-Saharan Africa,1989,C,povcal,1,1988,1,1.6482365,85.0,441,394.4634245424359,547.359130859375,16.482364999999998,2.5007576
4750,SLV,El Salvador,L. America & Carib.,1989,I,povcal,1,1988,1,0.5189564999999999,87.0,2075,2262.091615078688,3552.107421875,5.189565,3.0197141
3330,LSO,Lesotho,Sub-Saharan Africa,1986,C,povcal,1,1988,1,0.15799000000000002,99.0,951,773.4909531522626,837.08251953125,1.5799,3.1777040999999997
3800,MRT,Mauritania,Sub-Saharan Africa,1987,C,povcal,1,1988,1,0.1892328,104.0,732,1392.1792213315741,1822.795166015625,1.8923279999999998,3.3669369
2210,HND,Honduras,L. America & Carib.,1989,I,povcal,1,1988,1,0.46182449999999997,119.0,1142,1717.332819424086,2731.61962890625,4.618245,3.8287614
5361,UGA,Uganda,Sub-Saharan Africa,1989,C,povcal,1,1988,2,1.6482365,133.0,441,394.4634245424359,547.359130859375,16.482364999999998,5.4769979
3970,NGA,Nigeria,Sub-Saharan Africa,1986,C,wyd,1,1988,1,9.2731304,136.0,559,573.7988323981575,1240.21826171875,92.731304,14.7501283
1210,CRI,Costa Rica,L. America & Carib.,1989,I,povcal,1,1988,1,0.2916566,147.0,2403,4005.900989463893,6159.13671875,2.916566,15.0417849
920,CHN-R,China,China,1990,C,povcal,1,1988,1,81.91720960000002,157.0,407,,,819.172096,96.95899450000002
4210,PAK,Pakistan,Other Asia,1987,C,povcal,1,1988,1,10.533246400000001,165.0,453,1038.439929589383,1505.338623046875,105.33246399999999,107.49224090000001
1960,GHA,Ghana,Sub-Saharan Africa,1988,C,povcal,1,1988,1,1.4010951,166.0,578,598.9018732546979,882.044677734375,14.010951,108.89333600000002
2450,IDN-U,Indonesia,Other Asia,1987,C,povcal,1,1988,1,5.126596,167.0,474,,,51.26596,114.01993200000003
3331,LSO,Lesotho,Sub-Saharan Africa,1986,C,povcal,1,1988,2,0.15799000000000002,174.0,951,773.4909531522626,837.08251953125,1.5799,114.17792200000002
2131,GTM,Guatemala,L. America & Carib.,1989,I,povcal,1,1988,2,0.8525210999999999,177.0,1203,2479.585434909807,3306.0244140625,8.525211,115.03044310000003
2400,IDN-R,Indonesia,Other Asia,1987,C,povcal,1,1988,1,12.674083999999999,178.0,417,,,126.74083999999999,127.70452710000002
5362,UGA,Uganda,Sub-Saharan Africa,1989,C,povcal,1,1988,3,1.6482365,180.0,441,394.4634245424359,547.359130859375,16.482364999999998,129.35276360000003
380,BGD,Bangladesh,Other Asia,1988,C,povcal,1,1988,1,10.006232,185.0,444,637.7204196744589,723.0072631835938,100.06232,139.35899560000004
2211,HND,Honduras,L. America & Carib.,1989,I,povcal,1,1988,2,0.46182449999999997,196.0,1142,1717.332819424086,2731.61962890625,4.618245,139.82082010000005
610,BRA,Brazil,L. America & Carib.,1988,I,povcal,1,1988,1,14.447038399999999,196.0,3069,3701.521233916012,7519.3427734375,144.470384,154.26785850000005
2550,IND-R,India,India,1987,C,povcal,1,1988,1,62.810719999999996,203.0,514,,,628.1072,217.07857850000005
5550,UZB,Uzbekistan,"Russia, C. Asia, SE Europe",1988,I,wyd,1,1988,1,1.956118,203.0,402,,2004.307373046875,19.56118,219.03469650000005
3801,MRT,Mauritania,Sub-Saharan Africa,1987,C,povcal,1,1988,2,0.1892328,205.0,732,1392.1792213315741,1822.795166015625,1.8923279999999998,219.22392930000007
921,CHN-R,China,China,1990,C,povcal,1,1988,2,81.91720960000002,207.0,407,,,819.172096,301.1411389000001
2600,IND-U,India,India,1987,C,povcal,1,1988,1,20.959246399999998,210.0,611,,,209.59246399999998,322.1003853000001
3971,NGA,Nigeria,Sub-Saharan Africa,1986,C,wyd,1,1988,2,9.2731304,212.0,559,573.7988323981575,1240.21826171875,92.731304,331.3735157000001
4211,PAK,Pakistan,Other Asia,1987,C,povcal,1,1988,2,10.533246400000001,213.0,453,1038.439929589383,1505.338623046875,105.33246399999999,341.9067621000001
2451,IDN-U,Indonesia,Other Asia,1987,C,povcal,1,1988,2,5.126596,221.0,474,,,51.26596,347.0333581000001
5363,UGA,Uganda,Sub-Saharan Africa,1989,C,povcal,1,1988,4,1.6482365,230.0,441,394.4634245424359,547.359130859375,16.482364999999998,348.6815946000001
2401,IDN-R,Indonesia,Other Asia,1987,C,povcal,1,1988,2,12.674083999999999,230.0,417,,,126.74083999999999,361.3556786000001
1450,DOM,Dominican Republic,L. America & Carib.,1986,I,povcal,1,1988,1,0.6907171,233.0,1687,2411.365332275218,3750.344482421875,6.907171000000001,362.04639570000006
381,BGD,Bangladesh,Other Asia,1988,C,povcal,1,1988,2,10.006232,235.0,444,637.7204196744589,723.0072631835938,100.06232,372.0526277000001
1520,ECU,Ecuador,L. America & Carib.,1987,I,povcal,1,1988,1,0.9792658000000001,235.0,2284,2970.7477873448906,5172.47412109375,9.792658,373.0318935000001
1961,GHA,Ghana,Sub-Saharan Africa,1988,C,povcal,1,1988,2,1.4010951,238.0,578,598.9018732546979,882.044677734375,14.010951,374.4329886000001
5551,UZB,Uzbekistan,"Russia, C. Asia, SE Europe",1988,I,wyd,1,1988,2,1.956118,238.0,402,,2004.307373046875,19.56118,376.3891066000001
922,CHN-R,China,China,1990,C,povcal,1,1988,3,81.91720960000002,248.0,407,,,819.172096,458.30631620000014
