Rank,Production_company
1,Universal Pictures
2,Warner Bros.
3,Columbia Pictures
4,Walt Disney Pictures
5,Marvel Studios
6,Paramount Pictures
7,20th Century Fox
8,Dune Entertainment
9,Legendary Pictures
10,Relativity Media
11,DreamWorks Animation
12,Amblin Entertainment
13,Disney-Pixar
14,New Line Cinema
15,Village Roadshow Productions
16,DreamWorks Pictures
17,Regency Enterprises
18,Metro-Goldwyn-Mayer Pictures
19,Lucasfilm
20,Heyday Films
21,Walt Disney Animation Studios
22,RatPac Entertainment
23,Lionsgate
24,Summit Entertainment
25,Touchstone Pictures
26,Working Title Films
27,di Bonaventura Pictures
28,Original Film
29,Jerry Bruckheimer
30,Bad Robot
31,TSG Entertainment
32,Illumination Entertainment
33,Eon Productions
34,Wingnut Films
35,Twentieth Century Fox
36,1492 Pictures
37,Perfect World Pictures
38,Skydance Productions
39,The Kennedy/Marshall Company
40,Fox 2000 Pictures
41,Imagine Entertainment
42,Ingenious Film Partners
43,Temple Hill Entertainment
44,Blue Sky Studios
45,Hasbro Studios
46,Sony Pictures Animation
47,PDI
48,Syncopy
49,One Race Films
50,Blumhouse
51,Chernin Entertainment
52,Canal Plus
53,Donners’ Company
54,Atlas Entertainment
55,Silver Pictures
56,New Regency
57,Ingenious Media
58,Spyglass Entertainment
59,Scott Free Films
60,Walden Media
61,Fairview Entertainment
62,Zancuk Company
63,Dentsu Inc.
64,Tri-Star Pictures
65,Sunswept Entertainment
66,Cruel and Unusual Films
67,Roth Films
68,Happy Madison
69,Overbrook Entertainment
70,StudioCanal
71,Scott Rudin Productions
72,Davis Entertainment
73,Chris Meledandri
74,Kinberg Genre
75,LStar Capital
76,Screen Gems
77,Centropolis Entertainment
78,Brian Grazer Productions
79,Color Force
80,GK Films
81,The Safran Company
82,Lightstorm Entertainment
83,Mandeville Films
84,Participant Media
85,Weinstein Company
86,Castle Rock Entertainment
87,Fox Searchlight Pictures
88,Revolution Studios
89,Cruise-Wagner
90,Vertigo Entertainment
91,Plan B Entertainment
92,Tencent Pictures
93,United Artists
94,Focus Features
95,Wanda Media
96,Bad Hat Harry Productions
97,China Film Company
98,Laura Ziskin Productions
99,Parkes+Macdonald Productions
100,Matt Tolmach Productions
